"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9400,"Min@Atl 01:00PM ET",26.690,"Atl"
"WR","DeAndre Hopkins",9100,"NO@Hou 01:00PM ET",25.150,"Hou"
"WR","Antonio Brown",8700,"Pit@Sea 04:25PM ET",24.690,"Pit"
"WR","Odell Beckham Jr.",8700,"NYG@Was 01:00PM ET",21.260,"NYG"
"RB","Devonta Freeman",8300,"Min@Atl 01:00PM ET",24.440,"Atl"
"QB","Tom Brady",8000,"NE@Den 08:30PM ET",25.960,"NE"
"TE","Rob Gronkowski",7900,"NE@Den 08:30PM ET",19.830,"NE"
"WR","Julian Edelman",7800,"NE@Den 08:30PM ET",19.611,"NE"
"RB","Todd Gurley",7500,"StL@Cin 01:00PM ET",19.213,"StL"
"WR","Larry Fitzgerald",7400,"Ari@SF 04:05PM ET",21.460,"Ari"
"WR","Demaryius Thomas",7400,"NE@Den 08:30PM ET",17.850,"Den"
"WR","A.J. Green",7400,"StL@Cin 01:00PM ET",17.280,"Cin"
"WR","Mike Evans",7400,"TB@Ind 01:00PM ET",15.500,"TB"
"QB","Drew Brees",7300,"NO@Hou 01:00PM ET",23.531,"NO"
"RB","Adrian Peterson",7300,"Min@Atl 01:00PM ET",18.600,"Min"
"WR","Allen Robinson",7300,"SD@Jax 01:00PM ET",18.810,"Jax"
"QB","Carson Palmer",7100,"Ari@SF 04:05PM ET",24.214,"Ari"
"QB","Matt Ryan",6900,"Min@Atl 01:00PM ET",18.328,"Atl"
"WR","Brandon Marshall",6800,"Mia@NYJ 01:00PM ET",19.700,"NYJ"
"WR","Emmanuel Sanders",6800,"NE@Den 08:30PM ET",15.544,"Den"
"WR","Amari Cooper",6800,"Oak@Ten 01:00PM ET",15.700,"Oak"
"QB","Philip Rivers",6700,"SD@Jax 01:00PM ET",21.744,"SD"
"QB","Ben Roethlisberger",6700,"Pit@Sea 04:25PM ET",21.697,"Pit"
"QB","Andrew Luck",6700,"TB@Ind 01:00PM ET",21.406,"Ind"
"WR","Jarvis Landry",6600,"Mia@NYJ 01:00PM ET",17.376,"Mia"
"QB","Eli Manning",6500,"NYG@Was 01:00PM ET",19.870,"NYG"
"RB","Marshawn Lynch",6500,"Pit@Sea 04:25PM ET",12.243,"Sea"
"WR","Michael Crabtree",6400,"Oak@Ten 01:00PM ET",16.560,"Oak"
"RB","Mark Ingram",6400,"NO@Hou 01:00PM ET",17.180,"NO"
"WR","Brandin Cooks",6400,"NO@Hou 01:00PM ET",15.990,"NO"
"QB","Derek Carr",6300,"Oak@Ten 01:00PM ET",19.890,"Oak"
"QB","Andy Dalton",6100,"StL@Cin 01:00PM ET",21.922,"Cin"
"RB","Lamar Miller",6100,"Mia@NYJ 01:00PM ET",17.250,"Mia"
"QB","Russell Wilson",6000,"Pit@Sea 04:25PM ET",17.662,"Sea"
"QB","Peyton Manning",5900,"NE@Den 08:30PM ET",12.422,"Den"
"QB","Blake Bortles",5900,"SD@Jax 01:00PM ET",20.112,"Jax"
"WR","Eric Decker",5800,"Mia@NYJ 01:00PM ET",16.756,"NYJ"
"RB","Chris Ivory",5800,"Mia@NYJ 01:00PM ET",16.489,"NYJ"
"RB","Doug Martin",5800,"TB@Ind 01:00PM ET",16.790,"TB"
"TE","Tyler Eifert",5800,"StL@Cin 01:00PM ET",16.020,"Cin"
"WR","Allen Hurns",5800,"SD@Jax 01:00PM ET",16.560,"Jax"
"RB","DeAngelo Williams",5700,"Pit@Sea 04:25PM ET",11.810,"Pit"
"WR","T.Y. Hilton",5700,"TB@Ind 01:00PM ET",13.840,"Ind"
"WR","Martavis Bryant",5600,"Pit@Sea 04:25PM ET",20.620,"Pit"
"QB","Marcus Mariota",5500,"Oak@Ten 01:00PM ET",18.755,"Ten"
"QB","Jameis Winston",5500,"TB@Ind 01:00PM ET",18.400,"TB"
"QB","Matt Hasselbeck",5400,"TB@Ind 01:00PM ET",15.640,"Ind"
"TE","Delanie Walker",5400,"Oak@Ten 01:00PM ET",15.300,"Ten"
"QB","Kirk Cousins",5400,"NYG@Was 01:00PM ET",17.150,"Was"
"RB","Latavius Murray",5400,"Oak@Ten 01:00PM ET",13.890,"Oak"
"QB","T.J. Yates",5300,"NO@Hou 01:00PM ET",11.110,"Hou"
"RB","LeSean McCoy",5300,"Buf@KC 01:00PM ET",17.225,"Buf"
"QB","Brock Osweiler",5300,"NE@Den 08:30PM ET",9.680,"Den"
"RB","Charcandrick West",5300,"Buf@KC 01:00PM ET",9.720,"KC"
"RB","Danny Woodhead",5200,"SD@Jax 01:00PM ET",15.270,"SD"
"QB","Ryan Tannehill",5200,"Mia@NYJ 01:00PM ET",18.020,"Mia"
"WR","Sammy Watkins",5200,"Buf@KC 01:00PM ET",11.829,"Buf"
"WR","DeSean Jackson",5100,"NYG@Was 01:00PM ET",7.650,"Was"
"QB","Tyrod Taylor",5100,"Buf@KC 01:00PM ET",18.070,"Buf"
"RB","LeGarrette Blount",5100,"NE@Den 08:30PM ET",12.467,"NE"
"TE","Jordan Reed",5100,"NYG@Was 01:00PM ET",15.663,"Was"
"QB","Mike Vick",5000,"Pit@Sea 04:25PM ET",6.348,"Pit"
"QB","Charlie Whitehurst",5000,"TB@Ind 01:00PM ET",0.000,"Ind"
"QB","Tarvaris Jackson",5000,"Pit@Sea 04:25PM ET",0,"Sea"
"QB","Ryan Fitzpatrick",5000,"Mia@NYJ 01:00PM ET",16.856,"NYJ"
"QB","Kellen Clemens",5000,"SD@Jax 01:00PM ET",6.520,"SD"
"QB","Shaun Hill",5000,"Min@Atl 01:00PM ET",0.250,"Min"
"QB","Matt Moore",5000,"Mia@NYJ 01:00PM ET",0.360,"Mia"
"QB","Drew Stanton",5000,"Ari@SF 04:05PM ET",-0.100,"Ari"
"QB","Alex Smith",5000,"Buf@KC 01:00PM ET",17.184,"KC"
"QB","Matt Flynn",5000,"NO@Hou 01:00PM ET",0,"NO"
"QB","Brian Hoyer",5000,"NO@Hou 01:00PM ET",17.351,"Hou"
"QB","Chad Henne",5000,"SD@Jax 01:00PM ET",0,"Jax"
"QB","Josh Johnson",5000,"Buf@KC 01:00PM ET",0,"Buf"
"QB","Chase Daniel",5000,"Buf@KC 01:00PM ET",0.160,"KC"
"QB","Colt McCoy",5000,"NYG@Was 01:00PM ET",0.000,"Was"
"QB","Case Keenum",5000,"StL@Cin 01:00PM ET",3.720,"StL"
"QB","Brandon Weeden",5000,"NO@Hou 01:00PM ET",9.630,"Hou"
"QB","Nick Foles",5000,"StL@Cin 01:00PM ET",10.791,"StL"
"QB","Landry Jones",5000,"Pit@Sea 04:25PM ET",6.965,"Pit"
"QB","Robert Griffin III",5000,"NYG@Was 01:00PM ET",0,"Was"
"QB","EJ Manuel",5000,"Buf@KC 01:00PM ET",10.560,"Buf"
"QB","Blaine Gabbert",5000,"Ari@SF 04:05PM ET",16.680,"SF"
"QB","Sean Renfree",5000,"Min@Atl 01:00PM ET",-0.400,"Atl"
"QB","Mike Glennon",5000,"TB@Ind 01:00PM ET",0,"TB"
"QB","Ryan Nassib",5000,"NYG@Was 01:00PM ET",0,"NYG"
"QB","Ryan Griffin",5000,"TB@Ind 01:00PM ET",0,"TB"
